2015-12-17 16:57:50 status half-installed libsystemd0:armhf 215-17+deb8u1
2015-12-17 16:57:51 status unpacked libsystemd0:armhf 215-17+deb8u1
2015-12-17 16:57:51 status unpacked libsystemd0:armhf 215-17+deb8u1
2015-12-17 16:57:51 install libtext-charwidth-perl:armhf <none> 0.04-7+b4
2015-12-17 16:57:51 status half-installed libtext-charwidth-perl:armhf 0.04-7+b4
2015-12-17 16:57:51 status unpacked libtext-charwidth-perl:armhf 0.04-7+b4
2015-12-17 16:57:51 status unpacked libtext-charwidth-perl:armhf 0.04-7+b4
2015-12-17 16:57:51 install libtext-iconv-perl:armhf <none> 1.7-5+b2
2015-12-17 16:57:51 status half-installed libtext-iconv-perl:armhf 1.7-5+b2
2015-12-17 16:57:51 status unpacked libtext-iconv-perl:armhf 1.7-5+b2
2015-12-17 16:57:51 status unpacked libtext-iconv-perl:armhf 1.7-5+b2
2015-12-17 16:57:51 install libtext-wrapi18n-perl:all <none> 0.06-7
2015-12-17 16:57:51 status half-installed libtext-wrapi18n-perl:all 0.06-7
2015-12-17 16:57:51 status unpacked libtext-wrapi18n-perl:all 0.06-7
2015-12-17 16:57:51 status unpacked libtext-wrapi18n-perl:all 0.06-7
2015-12-17 16:57:52 install libtinfo5:armhf <none> 5.9+20140913-1+b1
2015-12-17 16:57:52 status half-installed libtinfo5:armhf 5.9+20140913-1+b1
2015-12-17 16:57:52 status unpacked libtinfo5:armhf 5.9+20140913-1+b1
2015-12-17 16:57:52 status unpacked libtinfo5:armhf 5.9+20140913-1+b1
2015-12-17 16:57:52 install libudev1:armhf <none> 215-17+deb8u1
2015-12-17 16:57:52 status half-installed libudev1:armhf 215-17+deb8u1
2015-12-17 16:57:52 status unpacked libudev1:armhf 215-17+deb8u1
2015-12-17 16:57:52 status unpacked libudev1:armhf 215-17+deb8u1
2015-12-17 16:57:52 install libustr-1.0-1:armhf <none> 1.0.4-3+b2
2015-12-17 16:57:52 status half-installed libustr-1.0-1:armhf 1.0.4-3+b2
2015-12-17 16:57:52 status unpacked libustr-1.0-1:armhf 1.0.4-3+b2
2015-12-17 16:57:53 status unpacked libustr-1.0-1:armhf 1.0.4-3+b2
2015-12-17 16:57:53 install libuuid1:armhf <none> 2.25.2-6
2015-12-17 16:57:53 status half-installed libuuid1:armhf 2.25.2-6
2015-12-17 16:57:53 status unpacked libuuid1:armhf 2.25.2-6
2015-12-17 16:57:53 status unpacked libuuid1:armhf 2.25.2-6
2015-12-17 16:57:53 install login:armhf <none> 1:4.2-3
2015-12-17 16:57:53 status half-installed login:armhf 1:4.2-3
2015-12-17 16:57:54 status unpacked login:armhf 1:4.2-3
2015-12-17 16:57:54 status unpacked login:armhf 1:4.2-3
2015-12-17 16:57:54 install lsb-base:all <none> 4.1+Debian13+nmu1
2015-12-17 16:57:54 status half-installed lsb-base:all 4.1+Debian13+nmu1
2015-12-17 16:57:54 status unpacked lsb-base:all 4.1+Debian13+nmu1
2015-12-17 16:57:54 status unpacked lsb-base:all 4.1+Debian13+nmu1
2015-12-17 16:57:54 upgrade mawk:armhf 1.3.3-17 1.3.3-17
2015-12-17 16:57:54 status half-configured mawk:armhf 1.3.3-17
2015-12-17 16:57:54 status unpacked mawk:armhf 1.3.3-17
2015-12-17 16:57:54 status half-installed mawk:armhf 1.3.3-17
2015-12-17 16:57:54 status half-installed mawk:armhf 1.3.3-17
2015-12-17 16:57:54 status unpacked mawk:armhf 1.3.3-17
2015-12-17 16:57:54 status unpacked mawk:armhf 1.3.3-17
2015-12-17 16:57:55 install mount:armhf <none> 2.25.2-6
2015-12-17 16:57:55 status half-installed mount:armhf 2.25.2-6
2015-12-17 16:57:55 status unpacked mount:armhf 2.25.2-6
